Node,X,Y,Kgroup,LGroup,Distance
0,716.14225,127.6804,0,0,0.485699447317965
1,609.5632,122.4453,3,13,0.0062098711742222
2,305.9286333,121.9358,12,88,2.41101079361934
3,110.255375,124.8505,15,74,3.41425389551743
4,225.1138,156.1127,14,99,0.202245716889139
5,130.512875,153.3934,5,24,0.143713226274592
6,276.57866,155.0995,14,100,0
7,136.3718667,163.9928,5,25,0
8,128.9529,187.1158,5,26,0
9,164.5860286,142.7788,11,78,1.62459080078746
10,101.55144,155.3904,15,105,2.90707359934897
11,252.999025,113.6158,4,17,5.21340039103678
12,503.0801,151.084,7,43,4.13553632744593
13,353.023175,174.8048,13,94,0
14,530.06,159.5493,7,44,0
15,1244.4,158.7834,2,8,0
16,132.78448,108.0422,10,68,4.56995725800729
17,153.7399,155.0544,11,79,3.323353309749
18,837.2935,143.6296,6,33,0
19,124.36996,173.0945,5,27,1.22801212975488
20,109.2773,105.1299,10,69,1.6397819275957
21,268.79342,149.3178,14,101,4.03857131714541
22,221.5196625,139.8206,14,102,0
23,923.5136,103.1308,8,51,0
24,398.4534333,173.0576,13,95,0
25,100.4291667,157.223,15,105,0.771578237780769
26,99.69096667,135.8644,15,106,3.88128760462763
27,176.96036,151.185,11,80,0
28,147.3415571,104.7827,10,70,0
29,598.4006,102.0433,3,14,0
30,114.06255,106.5499,10,69,3.41614790176539
31,186.3372857,109.6072,9,62,0
32,230.69435,177.8238,14,103,3.88559572275923
33,152.5621,136.0023,11,81,0.818065993947454
34,306.7334,114.7602,12,88,4.80968887559267
35,582.468,119.4609,3,15,4.89967567031147
36,676.4034,110.0184,0,1,4.1954107120162
37,687.2667,84.0077,0,2,0
38,766.8286,154.7492,6,34,2.30480273017025
39,777.3504,147.9095,6,35,0
40,788.1766,83.484,1,5,0
41,794.8084,111.9448,1,6,0
42,818.5223,109.7522,6,36,0
43,822.8615,142.5135,6,37,0
44,823.7018,119.1276,6,38,0
45,836.3087,130.018,6,39,0
46,847.0974,111.1485,6,40,0
47,854.1316,128.0015,6,41,1.69846689693963
48,856.5028,130.4339,6,41,1.69846689693973
49,866.6494,115.9947,8,52,0
50,876.3112,97.6419,8,53,0
51,899.4754,108.9682,8,54,0
52,902.3265,142.5211,8,55,0
53,908.2408,109.4082,8,56,3.57892256167973
54,915.3683,108.7498,8,56,3.57892256167962
55,918.2904,124.0017,8,57,3.26522447811785
56,924.323,126.5026,8,57,3.26522447811785
57,937.7417,120.0048,8,58,0
58,947.4407,122.5824,8,59,0
59,971.0978,121.9966,2,9,0
60,975.9133,143.8593,2,10,0
61,984.8933,127.9946,2,11,0
62,90.79645,139.7225,15,107,3.33513095680705
63,90.0217,119.9782,15,108,5.20135207500174
64,214.0271,127.0124,9,63,0
65,479.99345,119.9819,7,45,5.53468960261949
66,250.00925,103.4576,4,17,5.95013569817499
67,449.23385,109.2729,7,46,4.7511961489776
68,591.7537,171.2354,3,16,0
69,476.16765,127.9884,7,45,4.702104989623
70,531.50925,179.7494,7,47,0
71,536.2407,120.01,7,48,3.8955660179234
72,102.3264667,127.9861,15,106,4.76361279664553
73,372.1639,125.9877,16,110,1.38986349178773
74,93.79013333,139.9645,15,107,0.742283404843997
75,109.2383667,123.549,15,74,3.92797458085452
76,318.0458667,133.156,12,89,6.32728836024435
77,148.497,119.9727,11,82,4.28246968049381
78,155.6960333,137.7766,11,81,2.83720980057749
79,202.7797333,131.4502,9,64,0
80,311.9030333,163.2213,12,90,1.98096966555074
81,431.8239333,175.0608,13,96,0
82,470.5819333,121.9988,7,45,5.17149618307546
83,373.2563667,120.0026,16,110,5.33494288010711
84,584.6801333,129.0073,3,15,4.89967567031148
85,118.977625,107.9911,10,71,1.73742899093038
86,94.69495,189.4587,5,28,0
87,312.1863,159.2695,12,90,1.98096966555077
88,374.753975,130.0172,16,110,4.8756298689514
89,326.40265,137.0892,12,89,4.026814271302
90,162.78582,126.9802,11,83,3.44869464212185
91,121.84296,128.0511,10,72,4.81296266490771
92,100.0201,175.0228,5,29,1.88584544570657
93,241.7742833,128.9237,4,18,0
94,115.3695167,185.4914,5,30,3.17791566321386
95,102.7312333,177.6449,5,29,1.88584544570659
96,268.8322286,125.0344,4,19,2.38161824996439
97,161.698525,144.2686,11,78,1.62459080078746
98,332.3181,115.4894,12,91,0
99,609.5756,122.4446,3,13,0.00620987117410949
100,670.0513,104.536,0,1,4.19541071201619
101,675.7007,181.5547,0,3,0
102,762.2701,155.4337,6,34,2.30480273017024
103,767.1941,75.0177,1,7,0
104,861.0573,106.7845,6,42,0
105,891.4364,139.8706,8,60,0
106,902.7966,122.3574,8,61,0
107,956.9096,183.4628,2,12,0
108,486.4477,178.5294,7,49,0
109,104.2089,132.387,15,106,2.24568439783839
110,252.67895,73.1907,4,20,0
111,715.1715,127.6449,0,0,0.485699447317966
112,696.85415,123.9372,0,4,0
113,511.21505,152.5784,7,43,4.13553632744593
114,532.3623,126.7672,7,48,3.89556601792347
115,94.87603333,102.9154,10,73,2.20745119768417
116,113.0131333,122.0167,10,74,0.996240943627853
117,143.7088,117.9418,11,82,3.41809029567125
118,99.82423333,158.9424,15,105,1.16606328080717
119,99.7001,116.5901,15,108,5.05362432350537
120,126.9561667,122.505,10,72,3.25001063733135
121,284.0879333,123.8688,12,92,0
122,265.6279667,119.655,4,19,3.98799697564901
123,250.9663667,108.5604,4,17,1.34425722260701
124,305.9865667,121.93,12,88,2.39901551734643
125,321.2023667,120.9389,12,93,0
126,457.7432667,105.0438,7,46,4.75119614897761
127,538.2732667,108.2678,7,50,0
128,384.7975667,159.982,13,97,0
129,129.170125,126.2679,10,72,3.24811476801551
130,103.422775,132.0447,15,106,1.5909280219406
131,151.07115,136.0511,11,81,2.11383642390872
132,288.168125,67.3374,4,21,0
133,94.63125,139.2931,15,107,1.52639078093083
